STATION_LINE,LL_NAME
MYRTLE-WILLOUGH,Myrtle-Willoughby Avs
MYRTLE-WYCKOFF,Myrtle Av
NASSAU AV,Nassau Av
NECK RD,Neck Rd
NEPTUNE AV,Neptune Av-Van Siclen
NEREID AV,238th St-Nereid Av
NEVINS ST,Nevins St
NEW LOTS AV,New Lots Av
NEW LOTS,New Lots Av
NEW UTRECHT AV,New Utrecht Av
NEWKIRK AV,Newkirk Av
NEWKIRK PLAZA,Newkirk Av
NORTHERN BLVD,Northern Blvd
NORWOOD 205 ST,Norwood-205th St
NORWOOD AV,Norwood Av
NOSTRAND AV,Nostrand Av
OCEAN PKWY,Ocean Parkway
PARK PLACE,Park Place
PARKCHESTER,Parkchester-East 177th St
PARKSIDE AV,Parkside Av
PARSONS BLVD,Parsons Blvd
PELHAM BAY PARK,Pelham Bay Park
PELHAM PKWY,Pelham Parkway
PENNSYLVANIA AV,Pennsylvania Av
PRESIDENT ST,President St
PRINCE ST,Prince St
PROSPECT AV,Prospect Av
PROSPECT PARK,Prospect Park
QUEENS PLAZA,Queens Plaza
QUEENSBORO PLZ,Queensboro Plaza
RALPH AV,Ralph Av
RECTOR ST,Rector St
ROCKAWAY AV,Rockaway Av
ROCKAWAY BLVD,Rockaway Blvd
ROCKAWAY PARK B,Rockaway Park-Beach 116th
ROOSEVELT ISLND,Roosevelt Island
SARATOGA AV,Saratoga Av
SENECA AVE,Seneca Av
SHEEPSHEAD BAY,Sheepshead Bay
SHEPHERD AV,Shepherd Av
SIMPSON ST,Simpson St
SMITH-9 ST,Smith-9th St
SOUTH FERRY,South Ferry
SPRING ST,Spring St
ST LAWRENCE AV,St Lawrence Av
STEINWAY ST,Steinway St
STERLING ST,Sterling St
SUTPHIN BLVD,Sutphin Blvd
SUTPHIN-ARCHER,Sutphin Blvd-Archer Av - JFK
SUTTER AV,Sutter Av
SUTTER AV-RUTLD,Sutter Av
TIMES SQ-42 ST,Times Square
TREMONT AV,Tremont Av
UNION ST,Union St
UTICA AV,Utica Av
V.CORTLANDT PK,Van Cortlandt Park-242nd St
